[65/1000] :: train loss: 0.05884, train acc: 0.87867, valid loss: 0.09922, valid acc: 0.75100
[66/1000] :: train loss: 0.05392, train acc: 0.90333, valid loss: 0.10419, valid acc: 0.75000
[67/1000] :: train loss: 0.06312, train acc: 0.87433, valid loss: 0.11327, valid acc: 0.71000
[68/1000] :: train loss: 0.05372, train acc: 0.89700, valid loss: 0.10634, valid acc: 0.72700
[69/1000] :: train loss: 0.05702, train acc: 0.90467, valid loss: 0.10377, valid acc: 0.75500
[70/1000] :: train loss: 0.06204, train acc: 0.87400, valid loss: 0.11070, valid acc: 0.72800
[71/1000] :: train loss: 0.04345, train acc: 0.92267, valid loss: 0.09299, valid acc: 0.77200
[72/1000] :: train loss: 0.05284, train acc: 0.90300, valid loss: 0.10866, valid acc: 0.72600
[73/1000] :: train loss: 0.04718, train acc: 0.91933, valid loss: 0.09849, valid acc: 0.76700
[74/1000] :: train loss: 0.05043, train acc: 0.91567, valid loss: 0.09768, valid acc: 0.76000
[75/1000] :: train loss: 0.05212, train acc: 0.90700, valid loss: 0.10092, valid acc: 0.75100
[76/1000] :: train loss: 0.05086, train acc: 0.90333, valid loss: 0.09889, valid acc: 0.73000
[77/1000] :: train loss: 0.04880, train acc: 0.90900, valid loss: 0.09659, valid acc: 0.77000
[78/1000] :: train loss: 0.05597, train acc: 0.89133, valid loss: 0.10841, valid acc: 0.73700
[79/1000] :: train loss: 0.04201, train acc: 0.93533, valid loss: 0.09478, valid acc: 0.77500
[80/1000] :: train loss: 0.04673, train acc: 0.92700, valid loss: 0.09781, valid acc: 0.75200
[81/1000] :: train loss: 0.04153, train acc: 0.92267, valid loss: 0.09342, valid acc: 0.77400
[82/1000] :: train loss: 0.04174, train acc: 0.93867, valid loss: 0.09432, valid acc: 0.77300
[83/1000] :: train loss: 0.04742, train acc: 0.93133, valid loss: 0.09947, valid acc: 0.75800
[84/1000] :: train loss: 0.04618, train acc: 0.92333, valid loss: 0.09930, valid acc: 0.76400
[85/1000] :: train loss: 0.04183, train acc: 0.93200, valid loss: 0.10227, valid acc: 0.75300
[86/1000] :: train loss: 0.04384, train acc: 0.92967, valid loss: 0.09716, valid acc: 0.75300
[87/1000] :: train loss: 0.04693, train acc: 0.91833, valid loss: 0.10063, valid acc: 0.73700
[88/1000] :: train loss: 0.04275, train acc: 0.93167, valid loss: 0.09536, valid acc: 0.76900
[89/1000] :: train loss: 0.04231, train acc: 0.93967, valid loss: 0.09597, valid acc: 0.76100
[90/1000] :: train loss: 0.03915, train acc: 0.93767, valid loss: 0.09774, valid acc: 0.76200
[91/1000] :: train loss: 0.03978, train acc: 0.94100, valid loss: 0.09263, valid acc: 0.77100
[92/1000] :: train loss: 0.03962, train acc: 0.94600, valid loss: 0.09141, valid acc: 0.77000
[93/1000] :: train loss: 0.03938, train acc: 0.93600, valid loss: 0.09585, valid acc: 0.77500
[94/1000] :: train loss: 0.03708, train acc: 0.94733, valid loss: 0.09128, valid acc: 0.77400
[95/1000] :: train loss: 0.03551, train acc: 0.95000, valid loss: 0.08902, valid acc: 0.78100
[96/1000] :: train loss: 0.03904, train acc: 0.93400, valid loss: 0.09839, valid acc: 0.75400
[97/1000] :: train loss: 0.04534, train acc: 0.93133, valid loss: 0.09702, valid acc: 0.76000
[98/1000] :: train loss: 0.03596, train acc: 0.93933, valid loss: 0.08957, valid acc: 0.79200
[99/1000] :: train loss: 0.03402, train acc: 0.94533, valid loss: 0.09021, valid acc: 0.77600
[100/1000] :: train loss: 0.03412, train acc: 0.95433, valid loss: 0.09034, valid acc: 0.78300
[101/1000] :: train loss: 0.03505, train acc: 0.94867, valid loss: 0.08967, valid acc: 0.78600
[102/1000] :: train loss: 0.03633, train acc: 0.94800, valid loss: 0.09464, valid acc: 0.77800
[103/1000] :: train loss: 0.04398, train acc: 0.92333, valid loss: 0.09591, valid acc: 0.76800
[104/1000] :: train loss: 0.03389, train acc: 0.94733, valid loss: 0.09130, valid acc: 0.77300
[105/1000] :: train loss: 0.03590, train acc: 0.94000, valid loss: 0.09302, valid acc: 0.78000
[106/1000] :: train loss: 0.03459, train acc: 0.94800, valid loss: 0.09309, valid acc: 0.76900
[107/1000] :: train loss: 0.03400, train acc: 0.95433, valid loss: 0.08907, valid acc: 0.77700
[108/1000] :: train loss: 0.03545, train acc: 0.95767, valid loss: 0.09511, valid acc: 0.76500
[109/1000] :: train loss: 0.03217, train acc: 0.95733, valid loss: 0.08840, valid acc: 0.79500
[110/1000] :: train loss: 0.02939, train acc: 0.95833, valid loss: 0.08930, valid acc: 0.78900
[111/1000] :: train loss: 0.03039, train acc: 0.96500, valid loss: 0.08899, valid acc: 0.78500
[112/1000] :: train loss: 0.03100, train acc: 0.95867, valid loss: 0.09576, valid acc: 0.75800
[113/1000] :: train loss: 0.03050, train acc: 0.96133, valid loss: 0.09145, valid acc: 0.77300
[114/1000] :: train loss: 0.02990, train acc: 0.95733, valid loss: 0.09031, valid acc: 0.77000
[115/1000] :: train loss: 0.02785, train acc: 0.96367, valid loss: 0.08963, valid acc: 0.77900
[116/1000] :: train loss: 0.03337, train acc: 0.95900, valid loss: 0.09355, valid acc: 0.75900
[117/1000] :: train loss: 0.03195, train acc: 0.95100, valid loss: 0.09734, valid acc: 0.74300
[118/1000] :: train loss: 0.02843, train acc: 0.96167, valid loss: 0.09875, valid acc: 0.74700
[119/1000] :: train loss: 0.03105, train acc: 0.96300, valid loss: 0.09167, valid acc: 0.77600
[120/1000] :: train loss: 0.02888, train acc: 0.97067, valid loss: 0.09368, valid acc: 0.77700
[121/1000] :: train loss: 0.02907, train acc: 0.96367, valid loss: 0.09609, valid acc: 0.76100
[122/1000] :: train loss: 0.03357, train acc: 0.95200, valid loss: 0.09868, valid acc: 0.75500
[123/1000] :: train loss: 0.02831, train acc: 0.96400, valid loss: 0.09411, valid acc: 0.76100
[124/1000] :: train loss: 0.02592, train acc: 0.96167, valid loss: 0.08683, valid acc: 0.79500
